2026-01-18 11:46:30,415 | INFO | get_rembg_session:128 | rembg initialized successfully with CPU provider
2026-01-18 11:46:30,416 | INFO | remove_background_enhanced:312 |   Using rembg for background removal...
2026-01-18 11:46:33,675 | INFO | remove_background_enhanced:320 |   Background removal successful, output mode=RGBA, size=(354, 512)
2026-01-18 11:46:33,676 | DEBUG | preprocess_image:616 | Mask refined and applied
2026-01-18 11:46:33,677 | DEBUG | preprocess_image:623 | Balance analysis: {'balanced': np.True_, 'correction_angle': -0.5466497778067221, 'density_shift': np.float64(0.08332660243466217), 'center_of_mass': (np.float64(184.26124733167944), np.float64(251.47039750764438)), 'geometric_center': (np.float64(182.0), np.float64(268.0)), 'bounds': (np.int64(25), np.int64(31), np.int64(339), np.int64(505))}
2026-01-18 11:46:33,679 | INFO | load_pipeline:171 | load_pipeline called with model_name=Stable Zero123
2026-01-18 11:46:33,679 | INFO | load_pipeline:186 | Loading Stable Zero123 pipeline (id=kxic/stable-zero123, type=zero123)...
2026-01-18 11:46:37,116 | DEBUG | <module>:34 | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-01-18 11:46:37,264 | DEBUG | <module>:47 | Creating converter from 7 to 5
2026-01-18 11:46:37,264 | DEBUG | <module>:47 | Creating converter from 5 to 7
2026-01-18 11:46:37,264 | DEBUG | <module>:47 | Creating converter from 7 to 5
2026-01-18 11:46:37,264 | DEBUG | <module>:47 | Creating converter from 5 to 7
